"marca","nombre_fantasia","denominacion","RNPA"
"Sturla","No registra","Semilla de amaranto molida. Libre de gluten","02-532551"
"Sturla","No registra","Semilla de amaranto. Libre de gluten","02-532550"
"Sturla","No registra","Semilla de chía entera libre de gluten","02-505180"
"Sturla","No registra","Semilla de chía triturada parcialmente desgrasada - Libre de gluten","02-532649"
"Sturla","No registra","Semilla de lino entera y molida (Linum usitatisimum), libre de gluten sin TACC","02-569484"
"Sturla","No registra","Semilla de lino. Libre de gluten","02-533010"
"Sturla","No registra","Semilla de quínoa libre de gluten","02-532552"
"Sturla","No registra","Semilla de sésamo molida parcialmente desgrasada. Libre de gluten","02-533142"
"Sturla","No registra","Semilla de sésamo. Libre de gluten","02-533007"
"Sturla","No registra","Mezcla de semillas de lino y semillas de chía libre de gluten - Mix semillas lino y chía","02-593248"
"Sturla","No registra","Mezcla de semillas de lino, sésamo integral y quínoa libre de gluten - Mix topping semillas","02-593250"
"Sturla","Premezcla mix semillas","Mezcla de semillas de lino, sésamo integral, girasol pelado y quinoa- libre de gluten- premezcla mix semillas","02-595018"
"Sturla","No registra","Mezcla de semillas de amaranto y amapola- Libre de gluten- Mix amaranto y amapola","02-598440"
"Sturla","No registra","Mezcla de semillas de amaranto, chía y amapola- Libre de gluten- Mix amaranto, chía y amapola","02-599139"
"Sturla","No registra","Mezcla de semillas de quinoa y sésamo negro - Libre de gluten- Mix quinoa y sésamo negro","02-598400"
"Sturla","No registra","Mezcla de semillas de quinoa, sésamo negro y sésamo integral tostado- Libre de gluten- Mix quinoa, sésamo negro y sésamo integral","02-599153"
"Sturla","No registra","Semilla de lino entera y molida- Libre de gluten","02-598435"
"Sturla","No registra","Semilla de zapallo entera pelada- Libre de gluten","02-599137"
"Sturla","No registra","Mezcla de semillas de chía, sésamo blanco y lino, libre de gluten - Sin TACC","02-569485"
"Sturla","No registra","Semilla de amaranto negro (Amarantus muricatus) libre de gluten - Sin TACC","02-569489"
"Sturla","No registra","Semilla de girasol pelada entera-  Libre de gluten","02-570062"
"Sturla","No registra","Semilla de girasol pelada tostada entera - Libre de gluten","02-570063"
"Sturla","No registra","Semilla de lino molida parcialmente desgrasada (Linux usitatisimum) - Libre de gluten. Sin TACC","02-569487"
"Sturla","No registra","Semilla de sésamo entera tostada (Sesamum indicum) - Libre de gluten - Sin TACC","02-569490"
"Sturla","No registra","Semilla de zapallo entera (Cucurbita maxima) - Libre de gluten - Sin TACC","02-569486"
"Sturla","No registra","Semilla de zapallo tostada entera (Cucurbita maxima), libre de gluten - Sin TACC","02-570061"
"Sturla Crocante","No registra","Mezcla de semillas de chía, sésamo y girasol tostado - Libre de gluten","02-577435"
"Sturla Nativa","No registra","Mezcla de semillas de chía, sésamo y girasol - Libre de gluten","02-577436"
"Sturla Oriental","No registra","Mezcla de semillas de sésamo integral, chía y sésamo negro - Libre de gluten","02-588880"
"Sturla Rústica","No registra","Mezcla de semillas de chía, sésamo, girasol y lino - Libre de gluten","02-577458"
"Sturla Silvestre","No registra","Mezcla de semillas de chía, sésamo blanco y lino- Libre de gluten","02-599134"
"Surco Diaguita","No registra","Harina de Quínoa Libre de Gluten","03003926-2"
"Surco Diaguita","No registra","Quínoa en Grano Libre de Gluten","03003925-4"
"Susarelli","Arroz Doble","Arroz pulido tipo largo ancho calidad 00000 libre de gluten","025/080000442-7/020"
"Susarelli","Largo Fino","Arroz pulido tipo largo fino calidad 0000 libre de gluten","025/080000442-7/031"
"Susarelli","Arroz largo fino","Arroz pulido tipo largo fino calidad 00000 libre de gluten","025/080000442-7/019"
"Tacuarita","Tacuarita","Arroz pulido tipo largo ancho variedad fortuna calidad 00000 libre de gluten","025/080092444-7/001"
"Tacuarita","Tacuarita","Arroz pulido tipo largo fino calidad 00000 libre de gluten","025/080092444-7/002"
"Tante Gretty","No registra","Fécula de papa – Libre de gluten","02-580415"
"Tante Gretty","No registra","Premezcla libre de gluten - Uso universal (para panificación, repostería y cocina)","02-502073"
"Tante Gretty","No registra","Premezcla integral multicereal - Libre de gluten","02-569931"
"Tía Maruca","No registra","Rebozador de arroz libre de gluten","02-586877"
"Tío Carlos","Tío Carlos","Arroz glaseado tipo largo ancho doble carolina calidad 00000 libre de gluten sin TACC","025/080000027-7/002"
"Tío Carlos","Tío Carlos","Arroz glaseado tipo largo fino calidad 00000 libre de gluten sin TACC","025/080000027-7/004"
"Tío Carlos","Tío Carlos","Arroz integral tipo largo fino calidad 00000 - Libre de gluten","025/080000027-7/009"
"Tío Carlos","Tío Carlos","Arroz parboil tipo largo fino calidad 00000 - Libre de gluten","025/080000027-7/011"
"Topador","Topador","Arroz glaseado tipo largo fino calidad 0000 - Libre de gluten","025/080000027-7/008"
"Vea","Arroz largo fino","Arroz pulido tipo largo fino calidad 00000 libre de gluten","025/080000604-3-7/058"
"Vea Junto a Vos","No registra","Harina de maíz – Tradicional - Libre de gluten","02-529130"
"Vea Junto a Vos","No registra","Harina de maíz para preparar polenta de cocción rápida - Libre de gluten","02-529282"
"Yin - Yang","No registra","Alimento a base de arroz extrusado y semillas de chía, sésamo, lino y quínoa - Semillas pop  - Libre de gluten","02-613184"
"Yin - Yang","No registra","Alimento a base de harina de cereales, dulce- Libre de gluten- quínoa pop","02-612157"
"Yin - Yang","No registra","Alimento a base de harinas de cereales dulces- Libre de gluten- quínoa con alagarroba","02-612198"
"Yin - Yang","No registra","Arroz integral tipo largo fino- Libre de gluten","02-613182"
"Yin - Yang","No registra","Harina de arroz integral tostado- Libre de gluten","02-613183"
"Yin - Yang","No registra","Harina de garbanzo- Libre de gluten","02-613186"
"Yin - Yang","No registra","Harina de maíz blanco- Libre de gluten","02-613187"
"Zea Polenta","No registra","Sémola de maíz para preparar polenta - Libre de gluten","02-579661"
"Zea Snacks","No registra","Sémola de maiz- Libre de gluten","02-580584"
"Aguila","No registra","Salsa de chocolate con leche - libre de gluten","05004895"
"Chango","No registra","Coco rallado - Libre de gluten","02-608102"
"Codeland","No registra","Pasta para relleno sabor marroc producida para confitería - Libre de gluten","02-531648"
"Codeland","No registra","Pasta para rellenos con coco- Libre de gluten","02-592511"
"Codeland","No registra","Pasta para rellenos con dulce de leche - Libre de gluten","02-592509"
"Codeland","No registra","Pasta para rellenos sabor arándanos- Libre de gluten","02-592512"
"Codeland","No registra","Pasta para rellenos sabor maracuyá- Libre de gluten","02-592510"
"Codeland","No registra","Pasta para rellenos sabor sambayón - Libre de gluten","02-592513"
"Codeland","No registra","Baño de repostería semiamargo - Libre de gluten","02-599848"
"Codeland","No registra","Baño de repostería fantasía blanco - Libre de gluten","02 - 603377"
"Codeland","No registra","Pasta para relleno con avellanas y cacao - Libre de gluten","02-583407"
"Codeland - Mousse","No registra","Baño de repostería con leche - Libre de gluten","02-502606"
"Codeland - Pasta para relleno moka","No registra","Pasta para rellenos sabor café - Libre de gluten","02-529760"
"Codeland - Pasta para rellenos nougat","No registra","Pasta para rellenos sabor nougat - Libre de gluten","02-529761"
"Codeland - Pasta para rellenos praliné","No registra","Pasta para rellenos tipo praliné - Libre de gluten","02-529759"
"Doña Magdalena","No registra","Salsa dietética a base de leche con sucralosa sabor dulce de leche - Libre de gluten","02-598367"
"El Bolsón","Salsa amarena","Salsa a base de guinda libre de gluten","16005151"
"El Bolsón","No registra","Salsa de frambuesa libre de gluten","16005152"
"El Bolsón","No registra","Salsa de frutilla libre de gluten","16005150"
"El Bolsón","Salsa de frutos del bosque libre de gluten","Salsa de zarzamora, frutilla, frambuesa, arándano, guinda, corinto, sauco y cereza libre de gluten","16005153"
"Fueguero","Crema de limón libre de gluten fueguero","Crema de limón libre de gluten","025/08004108/001"
"Havanna","No registra","Salsa de dulce de leche - Libre de gluten","02-587676"
"La Cañada","No registra","Relleno para repostería sabor dulce de leche - Libre de gluten","02-524059"
"La Salamandra","No registra","Salsa de dulce de leche - Libre de gluten","02-570397"
"La Salamandra","No registra","Salsa de dulce de leche con chocolate - Libre de gluten","02-570399"
"Mamuschka","Mamuschcream","Pasta untable de avellanas libre de gluten","16009664"
"Nina","No registra","Mantequilla de maní- Libre de gluten- clásica","02-611405"
"Nora's Skills","No registra","Coco rallado libre de gluten","02-530159"
"Pérgola","No registra","Aromatizante artificial sabor vainilla - Libre de gluten","02-588818"
"Pérgola","No registra","Coco rallado - Libre de gluten","02-517380"
"Rapa Nui","Nuicciola libre de gluten","Pasta de avellanas","16009719"
"Rapa Nui","Pasta de almendras libre de gluten","Pasta de almendras libre de gluten","16010194"
"Rapa Nui","Pasta de maní libre de gluten","Pasta de maní libre de gluten","16010193"
"S & Co","No registra","Salsa a base de leche sin azúcar agregada sabor dulce de leche - Libre de gluten","02 - 603530"
"Vacalin","No registra","Producto de repostería a base de leche sabor chocolate amargo - Libre de gluten - Crema de chocolate amargo","02-595957"
"Vacalin","No registra","Producto de repostería a base de leche sabor chocolate semiamargo - Libre de gluten - Crema de chocolate semiamargo","02-595955"
"´´Ke - Ila Rebozados Gluten Free´´","No registra","Milanesas de carne - Libre de gluten","02-605982"
"Alimenpes S.A","No registra","Hamburguesa de merluza con queso azul - Libre de gluten","02-609419"
"Alimenpes S.A","No registra","Hamburguesa de merluza primavera (con zanahoria, choclo y arveja/chacuha) - Libre de gluten","02-609416"
"Alwa","No registra","Papas fritas tradicionales - Libre de gluten","02-597736"
"Alwa","No registra","Batatas fritas - Chips de batatas rústicas- Libre de gluten","02-598189"
"Anki alimentando conciencia","No registra","Alimento a base de garbanzo y vegetales supercongelado - Libre de gluten","02 - 604364"
"Anki alimentando consciencia","No registra","Alimento a base de lenteja y vegetales supercongelados - Libre de gluten","02 - 604460"
"Aro","No registra","Papas prefritas supercongeladas - Libre de gluten","02-589292"
"Aro","No registra","Papas prefritas supercongeladas - Libre de gluten","02-565223"
"Aro","No registra","Croquetas de papa prefritas congeladas - libre de gluten","02-594066"
"Azulverde","Medallones de espinaca y garbanzos congelados libre de gluten","Medallones de espinaca y garbanzos congelados libre de gluten","06002964"
"Azulverde","Medallones de lentejas congelados libre de gluten","Medallones de lentejas congelados libre de gluten","06002965"
"Burger King","No registra","Papas prefritas supercongeladas - Libre de gluten","02-531330"
"Burguer King","No registra","Papas prefritas supercongeladas - Libres de gluten","02-579347"
"Carne 3.1","No registra","Medallones de carne vacuna supercongelados - Libre de gluten","02-530070"
"Carrefour","No registra","Papas prefritas supercongeladas - Libre de gluten","02-595930"
"Celi Market","No registra","Pizza de muzzarella y jamón cocido. Congelado - Libre de gluten","02-586999"
"Celi Market","No registra","Tarta de espinaca y choclo. Congelado -  libre de gluten","02-587001"
"Celi Market","No registra","Tarta de jamón y queso. Congelada - Libre de gluten","02-587000"
"Celi Market","No registra","Canelón de ricotta, muzzarella y jamón congelado - Libre de gluten","02-595921"
"Celi Market","No registra","Empanada de carne congelada - Libre de gluten","02-595920"
"Celi Market","No registra","Empanada muzzarella y espinaca congelada - Libre de gluten","02-595919"
"Celi Market","No registra","Pizza de muzzarella congelada - Libre de gluten","02-595923"
"Celi Market","No registra","Pizza de muzzarella y cebolla congelada - Libre de gluten","02-595922"
"Celi Market","No registra","Tarta de jamón y queso congelada - Libre de gluten","02-595917"
"Celi Market","No registra","Empanada de jamón y queso - Libre de gluten congelada","02 - 603740"
"Celiciosa","No registra","Pizza de mozzarella - Libre de gluten","02-610285"
"Celiclub","No registra","Empanadas de carne vacuna – Libre de gluten","13041842"
"Celiclub","No registra","Milanesas de soja – Libre de gluten","13042632"
"Celiexpress","No registra","Tarta pastafrola – Congelado - Libre de gluten","02-599667"
"Celiexpress","No registra","Sándwich de miga con jamón y queso - Libre de gluten","02-601751"
"Celiexpress","No registra","Tarta de jamón y queso - Libre de gluten","02-601663"
"Celiexpress","No registra","Pizza de cebolla con mozzarella - Libre de gluten","02 - 603957"
"Celiexpress","No registra","Empanada de carne- Libre de gluten","02-611709"
"Celiexpress","No registra","Empanada de jamón y queso- Libre de gluten","02-611708"
"Celiexpress","No registra","Empanada de pollo- Libre de gluten","02-611707"
"Celimundo","No registra","Empanadas rellenas con carne, cebolla ,morrón, aceitunas libres de gluten","02-601707"
"Celimundo","No registra","Empanadas rellenas con pollo, cebolla, morrón y verdeo libre de gluten","02-601708"
"Celimundo","No registra","Empanadas rellenas de jamón y queso mozzarella - Libre de gluten","02-608160"
"Celimundo","No registra","Empanadas rellenas con acelga, cebolla, morrón y queso mozzarella libre de gluten","02-595986"
"Celimundo","No registra","Empanadas rellenas de jamón y queso mozzarella libre de gluten","02-595985"
"Con Las Manos En La Masa","No registra","Empanada de carne- Libre de gluten","02-611871"
"Con Las Manos En La Masa","No registra","Empanada de jamón y queso- Libre de gluten","02-611874"
"Croc Croc","No registra","Papas prefritas supercongeladas – Libre de gluten","02-581532"
"Delicias Para Julieta","No registra","Empanada en sus variedades: carne, jamón y queso, espinaca - Congeladas - Libre de gluten","02-609258"
"Día %","No registra","Papas prefritas supercongeladas - Libre de gluten","02-565221"
"Día %","No registra","Papas prefritas supercongeladas - Libre de gluten","02-508536"
"Día %","No registra","Croquetas de papas pre fritas super congeladas- Libre de gluten- Papas noisettes.","02-598482"
"Día %","No registra","Papas pre-fritas congeladas- Libre de gluten","02-598390"
"Farm Frites","No registra","Papas en gajos con piel prefritas supercongeladas - Libre de gluten","02-570428"
"Farm Frites","No registra","Papas prefritas supercongeladas, libre de gluten","02-560900"
"Farm Frites Fast Food","No registra","Papas prefritas supercongeladas - Libre de gluten","02-581708"
"Farm Frites Finest","No registra","Papas prefritas supercongeladas - Libre de gluten","02-530009"
"Farm Frites KFC","No registra","Papas prefritas supercongeladas – Libre de gluten","02-533794"
"Farm Pride","No registra","Papas prefritas supercongeladas - Libre de gluten","02-531403"
"Farmpac","No registra","Papas prefritas – Bastón – Supercongeladas. Libre de gluten","02-582437"
"Fast Food","No registra","Papas prefritas - Bastón – Supercongeladas - Libre de gluten","02-510198"
"Fleiss","No registra","Alimento deshidratado a base de papas - Puré de papas deshidratado en copos instantáneo - Libre de gluten - Sin TACC","02-567728"
"Fleiss","No registra","Alimento deshidratado a base de zapallo - Zapallo deshidratado en copos instantáneo libre de gluten","02-567839"
"Frams","No registra","Alimento a base de quínoa con vegetales y champignones deshidratados libre de gluten.","02-601802"
"Frams","No registra","Alimento a base de quínoa con vegetales y champignones deshidratados libre de gluten.","02-601801"
"Gallo","Risotto a la Española","Producto alimenticio para preparar risotto a la española libre de gluten","025/080000442-7/038"
"Gallo","Risotto Champiñones","Producto alimenticio para preparar risotto con champiñones libre de gluten","025/080000442-7/039"
"Gallo","Risotto sabor cuatro quesos","Producto alimenticio para preparar risotto con salsa cuatro quesos libre de gluten","025/080000442-7/037"
"Gallo","Risotto Primavera","Producto alimenticio para preparar risotto primavera libre de gluten","025/080000442-7/040"
"Great Value","No registra","Papas prefritas supercongeladas - Libre de gluten - Papas fritas tradicionales.","02-598577"
"Hoisin","No registra","Risotto de quínoa a la española - Libre de gluten","02-611669"
"Hora Sana","No registra","Empanada de carne - Libre de gluten","02-609874"
"Hora Sana","No registra","Empanada de jamón y queso - Libre de gluten","02-609879"
"Hora Sana","No registra","Empanada de pollo - Libre de gluten","02-609878"
"Il Sole Alimentos","No registra","Bocaditos de pollo rebozados supercongelados libre de gluten.","02-522944"
"Il Sole Alimentos","No registra","Empanadas con jamón y queso congeladas - Libre de gluten","02-565780"
"Il Sole Alimentos","No registra","Pizza con muzzarella supercongelada libre de gluten","02-522942"
"Il Sole Alimentos","No registra","Empanadas con carne supercongelada libre de gluten.","02-522945"
"Il Toscano","No registra","Canelones de muzzarella y jamón- Libre de gluten","02-611695"
"Il Toscano","No registra","Canelones de verdura- Libre de gluten","02-611696"
"Il Toscano","No registra","Empanada de jamón y queso- Libre de gluten","02-611676"
"Il Toscano","No registra","Empanada de pollo- Libre de gluten","02-611689"
"Il Toscano","No registra","Empanadas de carne- Libre de gluten","02-611675"
"Il Toscano","No registra","Tarta de jamón y queso-lista para consumir- Libre de gluten","02-611738"
"Il Toscano","No registra","Tarta de verdura-lista para consumir- Libre de gluten","02-611734"
"Ke-Ila Rebozados Gluten Free","No registra","Milanesa de pollo - Libre de gluten","02-605570"
"Kislev","No registra","Medallón a base de garbanzo libre de gluten supercongelado","18008995"
"Kislev","No registra","Medallón a base de lenteja libre de gluten supercongelado","18008994"
"Kislev","No registra","Medallón a base de maíz blanco, libre de gluten supercongelado","18008993"
"Kislev","No registra","Medallón a base de soja con choclo libre de gluten supercongelado","18009087"
"Kislev","No registra","Medallón a base de soja con provenzal, libre de gluten supercongelado","18009088"
"Kislev","No registra","Medallón a base de soja y espinaca libre de gluten supercongelado","18008998"
"Kislev","No registra","Medallón a base de soja y zapallo anquito libre de gluten supercongelado","18008996"
"Kislev","No registra","Medallón a base de soja, libre de gluten supercongelado","18008997"
"La Anónima","No registra","Papas prefritas supercongeladas - Libre de gluten","02-591102"
"La Oma Haida","No registra","Tarta de puerros, congelado - Libre de gluten","02-593494"
"La oma haida","No registra","Pizza con tomate y muzzarella- libre de gluten","02-594707"
"La Salteña","No registra","Tapa para empanadas - Libre de gluten","02-600358"
"Leofanti","No registra","Tarta de calabaza precocida congelada - Libre de gluten - Leofanti senza glutine","02-608486"
"Leofanti","No registra","Tarta de jamón y queso precocida - Libre de gluten -Senza glutine","02-608488"
"Leofanti","No registra","Tarta de puerro precocida congelada - Libre de gluten - senza glutine.","02-608510"
"Mac Fries","No registra","Papas prefritas supercongeladas - Libre de gluten","02-560987"
"Maggi","No registra","Producto elaborado a base de papa sabor a crema - Instantáneo para preparar puré. Libre de gluten","02-587276"
"Manjar","No registra","Pizza con muzzarella. Libre de gluten","02-592918"
"Manjar","No registra","Pizza con mozzarella y jamón - Libre de gluten - Pizza con jamón","02-593235"
"Manjar","No registra","Pizza con muzzarella y cebolla - Libre de gluten - Fugazzeta","02-593236"
"Manjar","No registra","Ravioles capresse con salsa de tomate - Libre de gluten","02-596096"
"Manjar","No registra","Ravioles de berenjena con salsa de tomate - Libre de gluten","02-596083"
"Manjar","No registra","Ravioles de brócoli con salsa de tomate - Libre de gluten","02-596088"
"Manjar","No registra","Ravioles de calabaza con salsa de tomate - Libre de gluten","02-596082"
"Manjar","No registra","Ravioles de hongos con salsa de tomate - Libre de gluten","02-596094"
"Manjar","No registra","Ravioles de queso con salsa de tomate - Libre de gluten","02-596091"
"Manjar","No registra","Ravioles de ricotta y espinaca con salsa de tomate - Libre de gluten","02-596072"
"Manjar","No registra","Sándwich de jamón y queso libre de gluten","02-596078"
"Manjar","No registra","Sándwich de mozzarella y queso danbo - Libre de gluten","02-596068"
"Manjar","No registra","Tallarines con salsa de tomate - Libre de gluten","02-596076"
"Margarita me quiere","No registra","Masa precocida para pizza - Libre de gluten","02 - 603696"
"Margarita me quiere","No registra","Masa precocida para pizza - Libre de gluten","02 - 603991"
"Mc Cain","No registra","Croquetas de papa prefritas supercongeladas - Libres de gluten (diversas formas y tamaños)","02-591263"
"Mc Cain","No registra","Croquetas de papas prefritas supercongeladas libre de gluten","02-580805"
"Mc Cain","No registra","Papas en gajo con piel prefritas supercongeladas-libre de gluten","02-593140"
"Mc Cain","No registra","Papas en trozos prefritas supercongeladas - Libre de gluten","02-593139"
"Mc Cain","No registra","Papas prefritas - Bastón - Supercongeladas. Libre de gluten. Se expenderá en las formas: tradicional, casero, horneables, golden long (extrafino), clásico, corte fino y premium","02-508674"
"Mc Cain","No registra","Papas bastón con piel prefritas – supercongeladas - corte tradicional rústico - corte casero rústico y distintos cortes y tamaño - Libre de gluten","02-599459"
"Mc Cain","No registra","Papas prefritas supercongeladas - Libres de gluten - Estilo casero","02-586193"
"Mc Cain - Batata doce","No registra","Batatas prefritas supercongeladas (se expenderán en las siguientes variedades: bastón, cubos y en rodajas). Libre de gluten","02-573723"
"Mc Cain - Gastronómicas","No registra","Papas prefritas - Bastón - Supercongeladas. Libre de gluten","02-577247"
"Mc Cain Duquesas","No registra","Croquetas de papa prefritas con sabor a queso – Supercongeladas. Libre de gluten","02-552634"
"Mc Cain Harvest Pride","No registra","Papas fritas bastón - Supercongeladas. Libre de gluten","02-514707"
"Mc Cain Noisettes","No registra","Croquetas de papa prefritas saborizadas jamón congeladas - Libre de gluten","02-563972"
"Mc Cain Noisettes","No registra","Croquetas de papa prefritas supercongeladas con sabor a jamón y queso- Libre de gluten","02-583212"
"Mc Cain Noisettes","No registra","Croquetas de papa prefritas supercongeladas saborizadas – Queso parmesano – Libre de gluten","02-554578"
"Mc Cain Noisettes","No registra","Croquetas de papa prefritas supercongeladas saborizadas provenzal – Libre de gluten","02-533795"
"Mc Cain Noisettes","No registra","Croquetas de papa prefritas supercongeladas. Libre de gluten","02-533756"
"Mc Cain Noisettes","No registra","Croquetas de papas prefritas supercongeladas con sabor a finas hierbas libre de gluten","02-583211"
"Mc Cain Noisettes","No registra","Croquetas de papas prefritas supercongeladas con sabor a panceta y cebolla libre de gluten","02-583209"
"Mc Cain Rondelles Cuisine","No registra","Papas prefritas tipo españolas supercongeladas libre de gluten","02-560524"
"Mc Cain Smiles","No registra","Croquetas de papa prefritas supercongeladas. Libre de gluten – (Forma caritas)","02-533753"
"Medave","No registra","Alimento a base de soja y girasol congelado - Libre de gluten - Medallones de soja y girasol","02-593569"
"Medave","Medallón de soja y quínoa","Alimento a base de soja y quínoa congelado- libre de gluten","02-593558"
"Medave","Medallones de soja y sésamo","Alimento a base de soja y sésamo congelado - Libre de gluten - Medallones de soja y sésamo","02-593603"
"Medave","Medallones de zanahoria","Alimento a base de zanahoria congelado - Libre de gluten - Medallones de zanahoria","02-593604"
"Medave","No registra","Alimento a base de acelga supercongelado - Libre de gluten","02-597257"
"Medave","No registra","Alimento a base de choclo supercongelado - Libre de gluten - Medallones de choclo","02-597434"
"Medave","No registra","Alimento a base de soja y chía supercongelado - Libre de gluten - Medallones de soja y chía","02-597564"
"Medave","No registra","Alimento a base de soja y lenteja supercongelado- Libre de gluten- Medallones de soja y lenteja","02-597245"
"Medave","No registra","Alimento a base de soja y poroto supercongelado - Libre de gluten - Medallón de soja y poroto","02-597247"
"Mi Refugio","No registra","Empanadas de carne - Congelado - Libre de gluten","02-609449"
"Mi Refugio","No registra","Empanadas de jamón y queso - Congelado - Libre de gluten","02-609452"
"Mi Refugio","No registra","Empanadas de pollo - Congeladas - Libre de gluten","02-609451"
"Mi Refugio","No registra","Sandwich de miga de jamón y queso - Congelado - Libre de gluten","02-609456"
"Mi refugio sin TACC","No registra","Masa precocida tipo prepizza - Pre - Pizzeta - Libre de gluten","02 - 604545"
"Morixe","No registra","Papas prefritas supercongeladas libre de gluten -tradicional/tradicionales/corte tradicional/corte fino/corte restaurante/tipo españolas/steakhouse/crinkles/7mm/10mm/12mm-","02-610065"
"Mostaza","No registra","Papas prefritas supercongeladas - Libre de gluten","02-601426"
"No registra","Producto celiacos ale","Sándwich en pan ingles con fiambre cocido, queso y mayonesa - Libre de gluten","13047433"
"Nutree","No registra","Medallones de quínoa congelados con adzuki y morrón - Libre de gluten - Criolla","02-604184"
"Nutree","No registra","Medallones de quínoa congelados con batata y curry - Libre de gluten - Indian","02-604185"
"Nutree","No registra","Medallones de quínoa congelados con brócoli - Libre de gluten - Brócoli","02-604182"
"Nutree","No registra","Medallones de quínoa congelados con espinaca libre de gluten - Espinaca","02-604181"
"Nutree","No registra","Medallones de quínoa congelados con lentejas - Libre de gluten - Lentil","02-604183"
"Olive","Empanadas de jamón y muzzarella Libre de gluten","Empanadas de jamón cocido y queso muzzarella – Libre de gluten","13044274"
"Olive","Tarta de jamón y muzzarella – Libre de gluten","Tarta de jamón cocido y queso muzzarella – Libre de gluten","13044260"
"Olive","No registra","Empanadas de pollo y queso muzzarella libre de gluten","13046780"
"Olive","No registra","Pizzetas con queso muzzarella y aceitunas libre de gluten","13046781"
"Olive","No registra","Sándwich en pan inglés de jamón cocido y queso - Libre de gluten","13045094"
"Olive","No registra","Tarta de pollo y queso muzzarella libre de gluten","13046785"
"One Fry","No registra","Papas prefritas bastón supercongeladas - Libres de gluten","02-591265"
"Patagonia Sin T.A.C.C.","Empanadas de carne congeladas libre de gluten","Empanadas de carne congeladas libre de gluten","07005942"
"Patagonia Sin T.A.C.C.","Empanadas de choclo congeladas libre de gluten","Empanadas de choclo congeladas libre de gluten","07005943"
"Patagonia Sin T.A.C.C.","Empanadas de jamón y queso congeladas libres de gluten","Empanadas de jamón y queso congeladas libre de gluten","07005944"
"Patagonia Sin T.A.C.C.","Empanadas de pollo congeladas libre de gluten","Empanadas de pollo congeladas libre de gluten","07005945"
"Patagonia Sin T.A.C.C.","Empanadas de verdura congeladas libre de gluten","Empanadas de verdura congeladas libre de gluten","07005946"
"Pura Tapioca","No registra","Empanadas de jamón cocido y queso mozzarella – Libre de gluten","13042173"
"Qualita","No registra","Papas prefritas supercongeladas- Libre de gluten","02-587290"
"Quality Fries","No registra","Papas prefritas supercongeladas - Libre de gluten","02-587034"
"Quinto zalla","No registra","Mezcla de arroz yamaní, cebolla, tomate, albahaca, condimentos y especias - Mezcla para preparar risotto libre de gluten - Tomates al pesto","02 - 604187"
"Quinto zalla","No registra","Mezcla de arroz yamaní, tomate, cebolla, especias y condimentos - Mezcla para preparar risotto - Libre de gluten - Vegetales","02 - 604186"
"Quinto Zalla","No registra","Mezcla para preparar risotto con arroz integral, puerros y hongos - Libre de gluten - Risotto de arroz integral con puerros y hongos","02-606491"
"Quinto Zalla","No registra","Mezcla para preparar risotto de espinaca y cebolla - Libre de gluten Risotto de espinaca y cebolla","02-606488"
"Quinto Zalla","No registra","Mezcla para preparar risotto libre de gluten - hongos.","02-610725"
"Rapipap","No registra","Papas prefritas supercongeladas - Rapipap mix/tradicionales - Libre de gluten","02-565224"
"Ruca Umel","Tarta congelada de jamón y queso libre de gluten","Tarta congelada de jamón y queso - Libre de gluten","16010064"
"Ruca umel","Empanadas de carne congeladas libre de gluten","Empanadas de carne congeladas libre de gluten","16010514"
"Saber Comer","No registra","Sándwich de pan lactal, jamón cocido, queso y manteca – Libre de gluten","13042104"
"Sadía","No registra","Papas prefritas supercongeladas - Libre de gluten","02-597725"
"Sadía","No registra","Papas prefritas supercongeladas - Libre de gluten (en sus diferentes variedades: papas fritas corte fino 7mm, papas fritas new york style, papas fritas estilo españolas y otras formas)","02-599883"
"Sans Gluten","No registra","Empanadas de carne - Libre de gluten","02-604992"
"Sans Gluten","No registra","Empanadas de jamón y queso - Libre de gluten","02-604993"
"Sans Gluten","No registra","Sándwich de miga de jamón y queso - Libre de gluten","02-602810"
"Silvina Rumi","No registra","Pizza - Libre de gluten (en sus diferentes variedades: mozzarella y cebolla; mozarella y jamón, mix de quesos).","02-598445"
"Silvina Rumi - Alimentos Sin T.A.C.C.","No registra","Pizza de mozzarella - Libre de gluten","02-583345"
"Simplot","No registra","Papas prefritas supercongeladas - Libre de gluten","02-591974"
"Simplot","No registra","Papas prefritas supercongeladas libres de gluten","02-591856"
"Simplot Pride","No registra","Papas prefritas supercongeladas libre de gluten","02-509127"
"Sol de Invierno","No registra","Empanada de carne - Libre de gluten","02-591083"
"Sol de Invierno","No registra","Empanada caprese - Libre de gluten","02-601102"
"Sol de Invierno","No registra","Empanada de pollo - Libre de gluten","02-601100"
"Sol de Invierno","No registra","Empanadas de jamón y queso - Libre de gluten","02-600519"
"Sol de Invierno","No registra","Milanesa de soja - Libre de gluten","02-601103"
"Sol de Invierno","No registra","Tarta caprese - Libre de gluten","02-601098"
"Sol de Invierno","No registra","Tarta de pollo y cebolla de verdeo - Libre de gluten","02-601096"
"Sol de Invierno","No registra","Tarta de jamón y queso (en sus diversas variedades: tartín, tarteleta, pascualina) - Libre de gluten","02-601686"
"Sol de Invierno","No registra","Tarta de verdura y ricotta-tartin-tartaleta- Libre de gluten","02-611961"
